n_estimators,max_depth,learning_rate,multi_task_strategy,mse_0,mse_1,r2_0,r2_1
10,1,0.1,multi_output_tree,31.41541056013586,27.025138396010313,0.6886424626101461,0.6994143776464419
10,1,0.01,multi_output_tree,88.46791995286388,78.58740175712475,0.12214644422346957,0.12490896559110029
10,1,0.001,multi_output_tree,101.73115326223596,90.57118019238774,-0.00975415888263742,-0.00878843327361296
10,2,0.1,multi_output_tree,21.17769986871314,19.88978117159945,0.7899664900038624,0.7785895367132433
10,2,0.01,multi_output_tree,86.76728300487608,77.30948457884266,0.13890557360159667,0.13900472390325633
10,2,0.001,multi_output_tree,101.55395867418756,90.43759116667864,-0.008011237522806835,-0.007315958764748087
10,3,0.1,multi_output_tree,17.048178882324038,17.451865340765934,0.8310180859218596,0.8057097363131325
10,3,0.01,multi_output_tree,85.84509981364097,76.78813369477936,0.14801645913155886,0.1447541901582997
10,3,0.001,multi_output_tree,101.44434859252374,90.37073219507658,-0.006927685464273648,-0.006581986916538396
10,5,0.1,multi_output_tree,14.397551367203562,15.07037166629135,0.8572868118649495,0.8321746072640984
10,5,0.01,multi_output_tree,85.36373657717061,76.45885270331948,0.15278189612502757,0.14844154314299368
10,5,0.001,multi_output_tree,101.39709718215632,90.34309981689245,-0.00645664198065452,-0.006267364802281183
50,1,0.1,multi_output_tree,8.073414869924587,9.406538183540025,0.9199458289853787,0.8952395227590204
50,1,0.01,multi_output_tree,51.48187700549012,45.16493497230363,0.48968161143763717,0.497545248920369
50,1,0.001,multi_output_tree,95.56988077872104,85.00432702711726,0.05152313335698553,0.053322163463961195
50,2,0.1,multi_output_tree,1.793286177667601,4.188823965321548,0.9822563153514535,0.9533469100125043
50,2,0.01,multi_output_tree,45.17275318836172,40.53216738788249,0.5519354281335617,0.5487709648268941
50,2,0.001,multi_output_tree,94.69648766131964,84.34725699428131,0.0601302048401585,0.06056987541938277
50,3,0.1,multi_output_tree,0.5645096971272073,3.0515267452403285,0.9944169197865355,0.9660085007349224
50,3,0.01,multi_output_tree,41.877225293838215,38.81408852771902,0.584602100282398,0.5678287553517731
50,3,0.001,multi_output_tree,94.18960287607135,84.03958219955034,0.06512829970831906,0.06394373046221144
50,5,0.1,multi_output_tree,0.21282879494177695,2.304019539375022,0.9979023646654918,0.9743694174216664
50,5,0.01,multi_output_tree,39.91199195685388,37.16929987065767,0.604096631150038,0.5861313818548591
50,5,0.001,multi_output_tree,93.95345262369912,83.89755877212914,0.06748053868060813,0.06555982903849604
100,1,0.1,multi_output_tree,4.380693812797898,6.267545029132644,0.9565407499414509,0.9300829383613849
100,1,0.01,multi_output_tree,32.43238421308869,27.944768271697473,0.6785794059213958,0.6891975372158701
100,1,0.001,multi_output_tree,88.52836944689108,78.64200038449778,0.12154537043154853,0.12429990607744024
100,2,0.1,multi_output_tree,0.4563722414180706,2.7919880673036204,0.9954989737909464,0.9689268347126664
100,2,0.01,multi_output_tree,22.466337778769002,20.99527554313442,0.7772264645247431,0.7663267213506901
100,2,0.001,multi_output_tree,86.84183504735337,77.37310832952906,0.13816299664317006,0.1382939827880337
100,3,0.1,multi_output_tree,0.2410339678527917,2.4529979952426517,0.9976292840196381,0.9727254761780753
100,3,0.01,multi_output_tree,18.353042009112837,18.586815823453406,0.8180531209740434,0.7930847000547683
100,3,0.001,multi_output_tree,85.9158397596378,76.85612187734645,0.14731251670436193,0.1440014360439087
100,5,0.1,multi_output_tree,0.14044707141333376,1.4083748685561992,0.9986167317833294,0.9844133440062116
100,5,0.01,multi_output_tree,15.670833822088213,16.197787247918292,0.8446460794697643,0.8196180996146929
100,5,0.001,multi_output_tree,85.4380385007688,76.52276784782882,0.15204291270824893,0.1477285366454035
500,1,0.1,multi_output_tree,1.3336246490877506,3.3344844917236487,0.9867366513822551,0.9628528940977412
500,1,0.01,multi_output_tree,8.42933328100077,9.73376226680512,0.916452543341367,0.891624307003819
500,1,0.001,multi_output_tree,51.617711060026956,45.287699259421075,0.48833305106508484,0.49617763300463097
500,2,0.1,multi_output_tree,0.20209150485424604,2.255643513323506,0.9980103056116212,0.97489178033407
500,2,0.01,multi_output_tree,1.9011129642449405,4.302311910209291,0.9811998715736554,0.952113569720334
500,2,0.001,multi_output_tree,45.33820255486968,40.67631533758591,0.5502954908166735,0.5471700393923697
500,3,0.1,multi_output_tree,0.1389784436884453,1.2086081125487838,0.9986322537378008,0.9865818545914319
500,3,0.01,multi_output_tree,0.6113275826703538,3.1289594400258975,0.9939706189709299,0.9651530635493433
500,3,0.001,multi_output_tree,42.03795418894357,38.95975497537556,0.583009517227085,0.5662114555369102
500,5,0.1,multi_output_tree,0.11423166186360885,0.46670976606791365,0.9988633190808965,0.9948204988607314
500,5,0.01,multi_output_tree,0.21902199152959206,2.4512564769022602,0.9978387061964522,0.9727465425306503
500,5,0.001,multi_output_tree,40.07233260126304,37.308945545407596,0.6025060748480844,0.5845750873895124
1000,1,0.1,multi_output_tree,1.1072877528186171,3.1331706850149543,0.9889690626880789,0.9650928000810645
1000,1,0.01,multi_output_tree,4.526169141393696,6.386164164056993,0.9551079665759639,0.9287677956193402
1000,1,0.001,multi_output_tree,32.53243167598377,28.035205677995634,0.6775892083583577,0.6881926364207452
1000,2,0.1,multi_output_tree,0.1910906533963796,2.316418465471826,0.9981200268177582,0.97420944688913
1000,2,0.01,multi_output_tree,0.47831956150629384,2.8084306872941402,0.9952775064848935,0.9687431623918205
1000,2,0.001,multi_output_tree,22.58929554895976,21.09585656657334,0.7760100984268915,0.765208793774546
1000,3,0.1,multi_output_tree,0.1326510581557873,1.0431758957810966,0.9986943644819725,0.9884068439077132
1000,3,0.01,multi_output_tree,0.24928913834210178,2.4844557655650843,0.9975505709599186,0.9723440267926401
1000,3,0.001,multi_output_tree,18.48134928055626,18.698944942906767,0.8167813875839613,0.7918422190134404
1000,5,0.1,multi_output_tree,0.12038145903340469,0.40490304841815056,0.9987989107419313,0.9955075579985936
1000,5,0.01,multi_output_tree,0.14066803962073018,1.4952208897900632,0.9986142898673492,0.9834491439759143
1000,5,0.001,multi_output_tree,15.793159686522452,16.30552431056224,0.843432272297755,0.8184188404104091
3000,1,0.1,multi_output_tree,1.0818373643051433,3.1182130018183347,0.9892102259073239,0.9652538785392494
3000,1,0.01,multi_output_tree,1.962601884852834,3.982102860890528,0.9805106161565327,0.9556218388465847
3000,1,0.001,multi_output_tree,14.178424114824091,13.708006522678057,0.859396137266047,0.8474103258477339
3000,2,0.1,multi_output_tree,0.18415900474132768,2.476054748136109,0.9981853461476552,0.9724220756307036
3000,2,0.01,multi_output_tree,0.22017142526599817,2.231542745587804,0.997833318792248,0.9751725798127397
3000,2,0.001,multi_output_tree,4.429464032544712,6.699995453715762,0.9560565150437424,0.9253510419207759
3000,3,0.1,multi_output_tree,0.1355275462939099,0.8266824883528099,0.9986621077590498,0.9908300648470012
3000,3,0.01,multi_output_tree,0.1537117620744781,1.40648945124844,0.99849042923601,0.9844449664625076
3000,3,0.001,multi_output_tree,2.273117226123604,4.760148494026337,0.9774915383856101,0.9469439613144411
3000,5,0.1,multi_output_tree,0.12796388804213404,0.36599412282040705,0.998722368461665,0.9959383501690733
3000,5,0.01,multi_output_tree,0.11177977541990214,0.6740579231914509,0.9988960344621811,0.992520351505758
3000,5,0.001,multi_output_tree,0.6738614291849173,3.2693736880449102,0.9933441477817428,0.9635742564618743
