n_estimators,max_depth,learning_rate,multi_task_strategy,mse_0,mse_1,mse_2,r2_0,r2_1,r2_2
10,1,0.1,multi_output_tree,12.851927615261435,13.660462916787925,294.9358279531839,-17.68265398201532,-0.09375169637967044,0.4322589985077217
10,1,0.01,multi_output_tree,81.30595804431837,19.692317264966523,588.6243051861035,-117.55908898792559,-0.5775911627484646,-0.20121763067467852
10,1,0.001,multi_output_tree,97.17212630575922,21.073111597010683,651.9108328923251,-140.71280975479053,-0.6884246575226048,-0.33959222788174714
10,2,0.1,multi_output_tree,12.893000284745764,12.129377235634106,250.2842284791981,-17.754778168943744,0.029710285160050677,0.5257819532949405
10,2,0.01,multi_output_tree,81.38138144311304,19.581232251733987,581.3184891206641,-117.66830011524549,-0.5684697916090141,-0.18485866326900635
10,2,0.001,multi_output_tree,97.18071431654104,21.05842970548558,651.147449402694,-140.72546017965533,-0.6872169219829536,-0.33782222389870037
10,3,0.1,multi_output_tree,13.11433240578036,10.69359011727485,259.51487199879443,-18.07020557948553,0.14464956608685972,0.5237953975795296
10,3,0.01,multi_output_tree,81.48129217063814,19.057557564599104,582.1766114583477,-117.80110331116266,-0.5257664672410518,-0.17988626534760402
10,3,0.001,multi_output_tree,97.19364451611851,21.001361024471382,651.2230993106593,-140.7423283958164,-0.6825513133275931,-0.33724972572191636
10,5,0.1,multi_output_tree,13.99568690151943,8.877389682146198,248.7125292727032,-19.360354053056245,0.2875438135099594,0.5478988759148649
10,5,0.01,multi_output_tree,81.95120599516972,18.766902536310216,577.0895661787339,-118.47070982890901,-0.5026999273625841,-0.16688119460910347
10,5,0.001,multi_output_tree,97.24501572330868,20.968885834827887,650.6403592968143,-140.81575275730484,-0.6799675170910706,-0.33575434201240195
50,1,0.1,multi_output_tree,0.5489788201224803,9.801700318566033,175.68968830506742,0.25473253283569675,0.2153792632578692,0.6819331003818896
50,1,0.01,multi_output_tree,36.98885766486281,15.82451256171446,405.4456881538933,-52.892503472555596,-0.2672964213677395,0.19646621981353746
50,1,0.001,multi_output_tree,89.80295559097166,20.431629392884666,622.5098685612685,-129.95883856330133,-0.6369315660624449,-0.2752039761252253
50,2,0.1,multi_output_tree,0.4233643755532454,6.438965814146258,159.49833971942616,0.427243887865696,0.48501481209902914,0.7161108610593908
50,2,0.01,multi_output_tree,37.121627428820474,14.910343784548067,376.87141872793103,-53.084452651414836,-0.19258818189666305,0.25808883093312585
50,2,0.001,multi_output_tree,89.84296837690138,20.366147999357093,618.9192209373929,-130.0174114390273,-0.6315475882314866,-0.2670669215247324
50,3,0.1,multi_output_tree,0.3868160122837492,5.442445589121631,165.4445238579534,0.4818800125693449,0.5646804564155413,0.7084218406915189
50,3,0.01,multi_output_tree,37.460178029383826,14.018299378703949,385.46465528651026,-53.55829474434749,-0.12044709586850896,0.257283544959169
50,3,0.001,multi_output_tree,89.90143886805461,20.09750307540553,619.1987780176171,-130.09438973630887,-0.6096096227353153,-0.2640885218621882
50,5,0.1,multi_output_tree,0.39937050443446637,4.644102376440786,156.3413306865218,0.45506003104142606,0.6272549056467801,0.7216354284183335
50,5,0.01,multi_output_tree,38.58486105588063,12.605225479435038,376.7363304096069,-55.19873702397717,-0.010586658936367566,0.2781974739465415
50,5,0.001,multi_output_tree,90.14811604251784,19.93506026630936,616.324655588358,-130.44498727226843,-0.5967630379656887,-0.25672776299393796
100,1,0.1,multi_output_tree,0.43872283433998704,6.998428470531595,167.15133290935736,0.412986508106019,0.4406379497903391,0.7016387886337279
100,1,0.01,multi_output_tree,14.077954486490626,13.791654538234132,300.955116432624,-19.469585078152093,-0.10432202051267048,0.42010581660278595
100,1,0.001,multi_output_tree,81.37830006725574,19.69868013472742,588.8399556447469,-117.6647383738346,-0.5781020344735959,-0.20163708891582544
100,2,0.1,multi_output_tree,0.3584768838938887,5.114104352251798,157.40214961634447,0.5158118602294988,0.5912782231830448,0.7180912409019203
100,2,0.01,multi_output_tree,14.117690810809933,12.345682439493936,257.9443184441011,-19.54389285662011,0.012681386420212637,0.5108381141837274
100,2,0.001,multi_output_tree,81.45317313871433,19.59036215770883,581.6968030748947,-117.77312019213828,-0.5692106113385748,-0.18573506167015158
100,3,0.1,multi_output_tree,0.35160860654997866,4.52119996869436,167.86502344286401,0.5262451862420872,0.6387231923449308,0.7026616444506175
100,3,0.01,multi_output_tree,14.347799827073493,10.795574695867858,266.5506078599179,-19.865908063506094,0.1365313094360146,0.5099620224773135
100,3,0.001,multi_output_tree,81.5506714612538,19.074251445395,582.4094324796791,-117.90311861728514,-0.5271247042794439,-0.1804300697252387
100,5,0.1,multi_output_tree,0.38567855067995327,4.296976290294004,156.6504230587954,0.46849092034216006,0.6554487071525834,0.7190840879195013
100,5,0.01,multi_output_tree,15.211972962499525,9.126290373009692,259.27870564111345,-21.128595052915855,0.26733081842772594,0.5267955482405926
100,5,0.001,multi_output_tree,82.02100530345317,18.77765164034199,577.3782155302896,-118.57431049980627,-0.5035738763096369,-0.16753899632335942
500,1,0.1,multi_output_tree,0.36727111213107616,4.753191971942475,163.3310768895272,0.5007309209644553,0.620548953630809,0.7054635962522762
500,1,0.01,multi_output_tree,0.5572641356748922,10.103802714898332,177.04659245971547,0.24188814343771953,0.19171022507257496,0.6794367711421229
500,1,0.001,multi_output_tree,37.15154303087467,15.838244048403405,406.1361316217316,-53.12986681485053,-0.2683946068645499,0.195027460522015
500,2,0.1,multi_output_tree,0.33320415985869173,4.152767290285455,165.325440160534,0.5452737185914948,0.6679745786731722,0.694913863109046
500,2,0.01,multi_output_tree,0.4255483314457561,6.5253260915532945,160.4456626316237,0.4258026432427016,0.4776358555595344,0.7141012226377689
500,2,0.001,multi_output_tree,37.28153319460727,14.925122959668576,377.69189469034336,-53.31747899294927,-0.19377592558330697,0.2563266399479419
500,3,0.1,multi_output_tree,0.3662615258368593,3.97804649494826,173.19122114466896,0.49934448525516234,0.6812719423355507,0.6929624238955189
500,3,0.01,multi_output_tree,0.3891235633975187,5.4788434281146134,167.87054357217616,0.48104912365442176,0.5610550844392274,0.7041845997957397
500,3,0.001,multi_output_tree,37.620541558561754,14.052206693846852,385.992939041093,-53.79266365098156,-0.12314961141709055,0.25623775245178293
500,5,0.1,multi_output_tree,0.3923785136314327,4.133884519154678,157.04781770509598,0.4504778049993023,0.6686431268064622,0.717763835345897
500,5,0.01,multi_output_tree,0.40169686764592016,4.797405486740013,160.8539617541445,0.4482711197465127,0.6148647894254612,0.7114341106042138
500,5,0.001,multi_output_tree,38.74241888670661,12.62748880542918,377.8077727717452,-55.427703564165185,-0.01236844514260429,0.2756848948743139
1000,1,0.1,multi_output_tree,0.3538327340660875,4.465794460389058,161.32719767241502,0.5189574144500879,0.6439362252514004,0.7065421191134692
1000,1,0.01,multi_output_tree,0.4432825290998473,7.068513344736536,167.9128870518954,0.40620982653911053,0.43460832837218166,0.6999195588114687
1000,1,0.001,multi_output_tree,14.198395106634328,13.805145721263937,301.4309551390039,-19.645027291119607,-0.10539966396733924,0.41913145551544356
1000,2,0.1,multi_output_tree,0.35103434869172007,4.237667881551978,166.5987676527491,0.5178881833550427,0.661104608329088,0.691505325567826
1000,2,0.01,multi_output_tree,0.3560982730646633,5.172138653970943,155.38663627686083,0.5199981449532803,0.5862839993340717,0.7217704232270018
1000,2,0.001,multi_output_tree,14.237650314936507,12.375084143350266,258.71279453878634,-19.719124418220936,0.010304910606145402,0.5094472799613181
1000,3,0.1,multi_output_tree,0.37800541551899525,4.0801408077125325,173.73848662465272,0.480872379673725,0.6731184635170148,0.6920885977934773
1000,3,0.01,multi_output_tree,0.34860234006369756,4.512555169943161,170.3619045519714,0.534010709817359,0.6391361000543199,0.6990679696429283
1000,3,0.001,multi_output_tree,14.470623918310952,10.790281247424407,266.8803861686208,-20.04464585267517,0.1368178363817965,0.5099089234980843
1000,5,0.1,multi_output_tree,0.39499623463994216,4.135184231622779,157.04621167083837,0.44577911624598343,0.6685439018581641,0.7177600099503356
1000,5,0.01,multi_output_tree,0.38882782110130865,4.3156947106699235,162.69416110043315,0.4614655269836862,0.6536282018935817,0.7062969516820652
1000,5,0.001,multi_output_tree,15.334752499518306,9.14448946308259,260.3525051907369,-21.308529893996457,0.2657756619789254,0.5241012477211612
